Id,Prediction
0,3721964.33
1,3490999.98
2,3548679.03
3,3465102.06
4,4784823.41
5,4067323.3
6,4145395.2
7,3706718.24
8,4682710.36
9,3509637.57
10,5100552.53
11,4727397.25
12,7391630.3
13,9350341.29
14,4259879.34
15,7238784.75
16,4954601.96
17,4346560.8
18,11342017.64
19,3869506.09
20,2337395.3
21,9201445.03
22,4524280.63
23,5993763.72
24,4976523.03
25,4107401.67
26,3651317.77
27,5480662.91
28,4879078.85
29,4923271.74
30,5849734.14
31,3178656.42
32,3936901.61
33,5583853.54
34,3025206.64
35,7865670.61
36,4614782.93
37,5281023.03
38,3280444.69
39,3683473.99
40,4713565.73
41,4722386.44
42,5242932.01
43,5090213.11
44,5888211.5
45,5656199.3
46,3425603.86
47,2140119.5
48,5069078.23
49,5837635.52
50,4801421.26
51,3454175.79
52,6548307.4
53,3938750.92
54,2974358.66
55,4946485.43
56,7306651.5
57,4186519.63
58,4736291.71
59,5021587.48
60,3382809.29
61,3470115.74
62,4138440.49
63,4351508.59
64,4589973.18
65,9279620.46
66,4627484.95
67,7890216.81
68,5761005.06
69,6771376.12
70,4148979.73
71,2878913.38
72,4133531.8
73,4774762.06
74,4760339.1
75,4193598.39
76,5773634.67
77,5556517.1
78,4837157.7
79,3976664.25
80,5586800.01
81,7639109.22
82,4211340.75
83,4564930.01
84,6035601.26
85,2023895.09
86,6904898.61
87,11166752.2
88,4597340.56
89,3703287.02
90,5191578.09
91,4356401.4
92,3395729.56
93,4472229.82
94,7595324.04
95,3158856.63
96,4534821.52
97,4498102.75
98,5047038.4
99,5550952.95
100,5781141.66
101,2157960.5
102,4853755.43
103,4031586.04
104,3589591.26
105,2648532.68
106,4999282.24
107,6461792.94
108,4898973.99
109,4543376.76
110,4847383.97
111,4244418.33
112,7735733.45
113,5044342.66
114,4310694.38
115,3936912.75
116,3605333.32
117,4563201.47
118,3830546.08
119,4891094.82
120,5543510.46
121,4900653.47
122,7142911.4
123,5663969.42
124,3656534.51
125,4434842.15
126,6927930.32
127,3574532.24
128,6054958.42
129,4565891.88
130,2610717.79
131,5341025.01
132,5664133.22
133,2879583.11
134,4503655.39
135,3572001.52
136,4408231.96
137,4169792.58
138,5127188.82
139,4569139.37
140,6664286.83
141,2675993.72
142,5857002.52
143,3428744.37
144,6732327.16
145,4108252.57
146,4600152.28
147,3392336.41
148,4067659.71
149,4989369.45
150,3960201.03
151,3214564.31
152,7808647.92
153,6795588.83
154,3307241.52
155,5510095.59
156,4249290.59
157,8224591.09
158,4458877.72
159,3835999.19
160,3202728.43
161,4943573.22
162,4108428.11
163,9291715.55
164,7168078.72
165,3928573.84
166,4138973.11
167,4375406.51
168,5936379.86
169,5400381.82
170,4127894.4
171,3478241.08
172,3870658.81
173,7439736.86
174,7551240.04
175,3086842.51
176,10370371.98
177,5703616.75
178,4231870.22
179,4182256.45
180,5441208.14
181,4221117.34
182,4724609.03
183,4381967.31
184,4722300.97
185,3628437.48
186,3479686.81
187,5439132.23
188,5154771.34
189,4478396.05
190,4394336.43
191,5210551.18
192,7460952.18
193,7935999.91
194,6389313.96
195,9418747.19
196,4327921.73
197,2706818.4
198,4995922.56
199,7081741.04
200,4273039.46
201,3770762.68
202,4361200.73
203,7274766.54
204,4947689.56
205,6554272.29
206,5361858.17
207,4478734.12
208,6106355.4
209,3345424.95
210,4076155.08
211,6105578.45
212,3675983.83
213,4215257.83
214,9139679.2
215,2015643.58
216,4999773.67
217,6015924.47
218,3861818.93
219,2862740.56
220,7483412.63
221,5081808.26
222,4659651.84
